total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash,short_window,long_window,strategy,atr_mult,entry_window,exit_window,bb_period,bb_std
0.5688563337992091,56.88563337992091,156885.6333799209,0.9928935097827414,1.5985476753249426,17.288994361405422,66.66666666666666,3,100000.0,20.0,100.0,TrendMA,,,,,
0.4968336451667661,49.68336451667661,149683.3645166766,0.906360124631214,1.4553818818585513,26.57847718068157,50.0,5,100000.0,10.0,100.0,TrendMA,,,,,
0.462777408788313,46.2777408788313,146277.7408788313,0.8664264475713177,1.41320481294497,23.087489761047912,30.76923076923077,14,100000.0,,,MomentumBreakout,,20.0,10.0,,
0.37576073426247747,37.576073426247746,137576.07342624775,0.7581593780729023,1.1962337962305278,18.57935750841486,66.66666666666666,3,100000.0,30.0,100.0,TrendMA,,,,,
0.2275573044734639,22.75573044734639,122755.73044734639,0.5944278493984,0.9510529879870602,25.654261469890212,25.0,9,100000.0,,,MomentumBreakout,,50.0,10.0,,
0.24708208324519293,24.708208324519294,124708.20832451929,0.5168568195379512,0.7993608587471693,28.98405689129641,50.0,9,100000.0,20.0,50.0,TrendMA,,,,,
0.1578849979046837,15.788499790468368,115788.49979046837,0.484627410671312,0.7859353306487642,25.227794838343918,16.666666666666664,6,100000.0,,,MomentumBreakout,,100.0,10.0,,
0.20272886552416122,20.27288655241612,120272.88655241612,0.4692308640562763,0.7113216665323934,25.793876131288673,66.66666666666666,9,100000.0,,,MeanRevBB,,,,30.0,1.5
0.14952917658116902,14.9529176581169,114952.9176581169,0.38787267628778666,0.5950323136505906,34.37969580938522,33.33333333333333,10,100000.0,10.0,50.0,TrendMA,,,,,
0.13545901454906736,13.545901454906737,113545.90145490674,0.383885161887389,0.6024044462581268,34.85690566826772,33.33333333333333,7,100000.0,,,MomentumBreakout,,50.0,30.0,,
0.09040435249642774,9.040435249642774,109040.43524964277,0.3770196068942864,0.6716525545766305,12.283001991445257,75.0,4,100000.0,,,MeanRevBB,,,,15.0,2.5
0.12217965246609062,12.217965246609062,112217.96524660906,0.3429879158725637,0.5169572971419252,28.16864887243451,50.0,8,100000.0,,,MeanRevBB,,,,30.0,2.0
0.07876428613689437,7.876428613689438,107876.42861368944,0.276191677479105,0.4171640567050977,37.90797804518994,33.33333333333333,10,100000.0,,,MomentumBreakout,,20.0,30.0,,
0.07812229741586431,7.812229741586431,107812.22974158643,0.27371025774432367,0.4132623611323614,31.405517771862428,70.0,10,100000.0,,,MeanRevBB,,,,20.0,2.0
0.04432566726904959,4.432566726904959,104432.56672690496,0.21191844951005565,0.3016576306484578,18.716831711757955,100.0,1,100000.0,20.0,200.0,TrendMA,,,,,
0.0175017434654868,1.7501743465486799,101750.17434654868,0.18614912273712622,0.26808651752393625,50.8600031691235,44.44444444444444,10,100000.0,30.0,50.0,TrendMA,,,,,
0.028552852412940557,2.8552852412940557,102855.28524129406,0.17478817690344112,0.2720478305736987,20.218632032342374,80.0,5,100000.0,,,MeanRevBB,,,,20.0,2.5
0.02137069761761304,2.137069761761304,102137.0697617613,0.15758504516883765,0.24240173704888812,35.94156122594285,25.0,9,100000.0,,,MomentumBreakout,,50.0,20.0,,
0.002870354086330772,0.2870354086330772,100287.03540863308,0.1445979188195501,0.2202230595982718,35.11084059997673,30.76923076923077,14,100000.0,,,MomentumBreakout,,20.0,20.0,,
-0.0017330836236535106,-0.17330836236535108,99826.69163763465,0.1279930172219001,0.1906266811400553,28.099855319814253,61.53846153846154,13,100000.0,,,MeanRevBB,,,,15.0,1.5
-0.0014587143869075226,-0.14587143869075225,99854.12856130925,0.12473439717879292,0.1811498274592022,22.771825866265345,40.0,5,100000.0,,,MeanRevBB,,,,30.0,2.5
-0.00011752097825301462,-0.011752097825301462,99988.2479021747,0.12348435571471442,0.18679916861910556,23.898553533987254,50.0,8,100000.0,,,MeanRevBB,,,,15.0,2.0
0.01011207529333973,1.011207529333973,101011.20752933397,0.11676392105412739,0.16499374271713912,18.716831711757955,50.0,2,100000.0,10.0,200.0,TrendMA,,,,,
0.0024340403042035176,0.24340403042035175,100243.40403042035,0.11102865110072474,0.17266377378941936,35.266279588826755,20.0,5,100000.0,,,MomentumBreakout,,100.0,30.0,,
-0.018900864195682807,-1.8900864195682807,98109.91358043172,0.10644363354247058,0.15756018114669615,34.73180307629833,69.23076923076923,13,100000.0,,,MeanRevBB,,,,20.0,1.5
0.0003870245745124703,0.03870245745124703,100038.70245745125,0.0851008034320463,0.11718849712925686,18.707418607076118,100.0,1,100000.0,30.0,200.0,TrendMA,,,,,
-0.014256840965295269,-1.425684096529527,98574.31590347047,0.06237463777240777,0.09691125049949993,36.34411892595455,16.666666666666664,6,100000.0,,,MomentumBreakout,,100.0,20.0,,
-0.10415587786037998,-10.415587786037998,89584.412213962,0.0015571732752521072,0.0022529822921692946,57.1868504688406,100.0,2,100000.0,30.0,100.0,TrendMA_Filtered,0.3,,,,
-0.10415587786037998,-10.415587786037998,89584.412213962,0.0015571732752521072,0.0022529822921692946,57.1868504688406,100.0,2,100000.0,30.0,100.0,TrendMA_Filtered,0.5,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,20.0,200.0,TrendMA_Filtered,0.5,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,20.0,200.0,TrendMA_Filtered,1.0,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,30.0,200.0,TrendMA_Filtered,0.5,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,30.0,200.0,TrendMA_Filtered,0.3,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,20.0,100.0,TrendMA_Filtered,0.3,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,10.0,200.0,TrendMA_Filtered,1.0,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,20.0,200.0,TrendMA_Filtered,0.3,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,20.0,100.0,TrendMA_Filtered,1.0,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,20.0,100.0,TrendMA_Filtered,0.5,,,,
0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0,30.0,200.0,TrendMA_Filtered,1.0,,,,
-0.10878521871453996,-10.878521871453996,89121.478128546,-0.13323228791321387,-0.1902785444102267,38.158021755650054,40.0,6,100000.0,10.0,50.0,TrendMA_Filtered,0.3,,,,
-0.10878521871453996,-10.878521871453996,89121.478128546,-0.13323228791321387,-0.1902785444102267,38.158021755650054,40.0,6,100000.0,10.0,50.0,TrendMA_Filtered,0.5,,,,
-0.10891254700279533,-10.891254700279534,89108.74529972047,-0.3233185184600332,-0.4699566938640959,14.632037409864202,0.0,3,100000.0,30.0,50.0,TrendMA_Filtered,1.0,,,,
-0.3001960152908438,-30.019601529084376,69980.39847091562,-0.5033617057593134,-0.7039749176472605,47.32262897863818,20.0,6,100000.0,30.0,50.0,TrendMA_Filtered,0.5,,,,
-0.3001960152908438,-30.019601529084376,69980.39847091562,-0.5033617057593134,-0.7039749176472605,47.32262897863818,20.0,6,100000.0,30.0,50.0,TrendMA_Filtered,0.3,,,,
-0.0934242589817039,-9.34242589817039,90657.57410182961,-0.6383781336125967,-0.7352499775640409,13.476854773104922,0.0,2,100000.0,10.0,100.0,TrendMA_Filtered,0.3,,,,
-0.0934242589817039,-9.34242589817039,90657.57410182961,-0.6383781336125967,-0.7352499775640409,13.476854773104922,0.0,2,100000.0,10.0,100.0,TrendMA_Filtered,1.0,,,,
-0.0934242589817039,-9.34242589817039,90657.57410182961,-0.6383781336125967,-0.7352499775640409,13.476854773104922,0.0,2,100000.0,10.0,100.0,TrendMA_Filtered,0.5,,,,
-0.31381476866284735,-31.381476866284736,68618.52313371527,-0.6460227747507821,-0.8696907400000419,39.20814268065117,50.0,4,100000.0,20.0,50.0,TrendMA_Filtered,0.5,,,,
-0.31381476866284735,-31.381476866284736,68618.52313371527,-0.6460227747507821,-0.8696907400000419,39.20814268065117,50.0,4,100000.0,20.0,50.0,TrendMA_Filtered,0.3,,,,
-0.3634378799236921,-36.34378799236921,63656.21200763079,-0.7303131233650613,-0.9745049040098333,49.537429916662,0.0,1,100000.0,30.0,100.0,TrendMA_Filtered,1.0,,,,
-0.09733749636167267,-9.733749636167268,90266.25036383273,-0.8024087603437227,-1.0090691733229076,9.904516969836127,0.0,1,100000.0,20.0,50.0,TrendMA_Filtered,1.0,,,,
-0.30903683007647154,-30.903683007647153,69096.31699235285,-1.0034426816307862,-1.273454608701622,37.18282026539569,0.0,2,100000.0,10.0,50.0,TrendMA_Filtered,1.0,,,,
